Trajectories
100
		JuanDR:RASI			JuanDR:SACR			JuanDR:LASI			JuanDR:RHEE			JuanDR:RTOE			JuanDR:RANK			JuanDR:RMED			JuanDR:LHEE			JuanDR:LTOE			JuanDR:LANK			JuanDR:LMED			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
484	0	-2163.754883	-640.663330	857.113525	-2356.319824	-489.122955	856.409973	-2148.650635	-384.221588	872.368713	-2359.502197	-535.032837	16.690058	-2188.558350	-555.668640	24.360617	-2316.175781	-574.296814	43.990337	-2282.184326	-492.227692	63.982533	-2227.976318	-434.576050	78.255386	-2066.869873	-398.297913	37.937252	-2172.363525	-384.955536	87.631851	-2134.690674	-462.836548	104.847740
485	0	-2155.079590	-641.124084	855.847656	-2346.851318	-488.206512	855.133057	-2138.749756	-384.851593	871.529724	-2359.416260	-534.859009	16.769224	-2188.633301	-555.827515	24.300665	-2316.179932	-574.073547	44.083881	-2281.815186	-492.126923	63.820450	-2196.386963	-433.953735	70.932823	-2033.115601	-400.896912	38.492275	-2140.295166	-385.404663	83.072227	-2105.108398	-463.778381	102.059189
486	0	-2146.248047	-641.485901	854.451721	-2337.224609	-487.241547	853.718872	-2128.695801	-385.404755	870.423401	-2359.343262	-534.638855	16.934532	-2188.674805	-555.970642	24.226957	-2316.102295	-573.869080	44.143326	-2281.384766	-492.010284	63.653549	-2164.680908	-432.960571	63.758450	-1999.606567	-403.784088	39.362949	-2108.144043	-385.682678	78.708778	-2075.778809	-464.563019	99.435432
487	0	-2137.262695	-641.743225	852.938904	-2327.432373	-486.230347	852.185608	-2118.479248	-385.880219	869.066101	-2359.286865	-534.371155	17.198627	-2188.684814	-556.101135	24.142693	-2315.952637	-573.693726	44.183418	-2280.907959	-491.889130	63.499371	-2132.975586	-431.665161	56.825123	-1966.513062	-406.735107	40.602905	-2076.123535	-385.773865	74.626526	-2046.776733	-465.150024	97.003380
488	0	-2128.125244	-641.893188	851.325134	-2317.468750	-485.175323	850.552673	-2108.093262	-386.277618	867.479309	-2359.239990	-534.074463	17.564037	-2188.665039	-556.223206	24.050701	-2315.738770	-573.555664	44.218754	-2280.395752	-491.776611	63.375637	-2101.432129	-430.159668	50.224922	-1934.028198	-409.496979	42.256702	-2044.493408	-385.670441	70.904549	-2018.198486	-465.512970	94.780052
489	0	-2118.836914	-641.936096	849.627686	-2307.329102	-484.079407	848.840271	-2097.532959	-386.596680	865.689331	-2359.191406	-533.779602	18.028482	-2188.618408	-556.340942	23.953157	-2315.459717	-573.458618	44.261433	-2279.855225	-491.685303	63.299515	-2070.258057	-428.546356	44.038273	-1902.368530	-411.820190	44.345715	-2013.552612	-385.373627	67.604362	-1990.167480	-465.643616	92.768318
490	0	-2109.396973	-641.875183	847.863403	-2297.011230	-482.946228	847.069885	-2086.795410	-386.837280	863.727173	-2359.127686	-533.518860	18.591654	-2188.547607	-556.457397	23.851538	-2315.103271	-573.401672	44.317810	-2279.286621	-491.625671	63.287422	-2039.712891	-426.925537	38.324715	-1871.768921	-413.492065	46.854069	-1983.616699	-384.896362	64.756554	-1962.839844	-465.552246	90.954865
491	0	-2099.801270	-641.716370	846.048767	-2286.513184	-481.780060	845.263489	-2075.878906	-386.999329	861.628174	-2359.036377	-533.318970	19.259298	-2188.455322	-556.574829	23.746922	-2314.642578	-573.379333	44.387257	-2278.686035	-491.605499	63.355282	-2010.098877	-425.386536	33.118137	-1842.479492	-414.367310	49.716080	-1954.997070	-384.267975	62.351002	-1936.404175	-465.266327	89.308846
492	0	-2090.043701	-641.467834	844.198669	-2275.835938	-480.586212	843.444153	-2064.785645	-387.082916	859.431702	-2358.909424	-533.199158	20.044971	-2188.344482	-556.693909	23.640303	-2314.045410	-573.383972	44.467747	-2278.046387	-491.630066	63.518883	-1981.754395	-424.001984	28.426992	-1814.758301	-414.392487	52.806622	-1927.982422	-383.535828	60.335247	-1911.078369	-464.828827	87.781517
493	0	-2080.114258	-641.139526	842.326904	-2264.982666	-479.370941	841.635803	-2053.521240	-387.088135	857.180725	-2358.741455	-533.170532	20.970039	-2188.217529	-556.815430	23.532913	-2313.284668	-573.409302	44.563396	-2277.358887	-491.703094	63.794205	-1955.036987	-422.823425	24.239183	-1788.862549	-413.618805	55.936123	-1902.822021	-382.763672	58.620750	-1887.098389	-464.295746	86.307816
494	0	-2070.001221	-640.742432	840.446960	-2253.957520	-478.141388	839.863159	-2042.092773	-387.015411	854.921021	-2358.532715	-533.238525	22.062601	-2188.074707	-556.939575	23.426329	-2312.345703	-573.453247	44.690544	-2276.615234	-491.827240	64.197762	-1930.303101	-421.880768	20.531315	-1765.036865	-412.200134	58.853989	-1879.715332	-382.025970	57.096550	-1864.706299	-463.733765	84.811028
495	0	-2059.691162	-640.287842	838.572815	-2242.768311	-476.905579	838.151672	-2030.512085	-386.864929	852.700867	-2358.283691	-533.405701	23.355986	-2187.914551	-557.067017	23.322458	-2311.234131	-573.520569	44.881874	-2275.806885	-492.005859	64.746941	-1907.883789	-421.185181	17.280811	-1743.495972	-410.371857	61.265850	-1858.806641	-381.399414	55.648640	-1844.130981	-463.216583	83.210258
496	0	-2049.171875	-639.786316	836.720764	-2231.423828	-475.671967	836.527466	-2018.794800	-386.636871	850.570190	-2357.997070	-533.674133	24.887352	-2187.732422	-557.199158	23.223467	-2309.975586	-573.623657	45.187874	-2274.927246	-492.243591	65.460274	-1888.056274	-420.733215	14.477940	-1724.407104	-408.417480	62.865993	-1840.185303	-380.952362	54.182919	-1825.569092	-462.821411	81.429955
497	0	-2038.432373	-639.247070	834.910522	-2219.937012	-474.449799	835.016663	-2006.958984	-386.331116	848.579651	-2357.671387	-534.047485	26.696838	-2187.520264	-557.338623	23.131594	-2308.611084	-573.782654	45.674587	-2273.968750	-492.547424	66.357803	-1871.016113	-420.511322	12.133845	-1707.867432	-406.630829	63.382977	-1823.889771	-380.734131	52.645550	-1809.166382	-462.623138	79.411583
498	0	-2027.465332	-638.677185	833.166443	-2208.322266	-473.248230	833.645386	-1995.026489	-385.946991	846.778931	-2357.299316	-534.532043	28.827503	-2187.268311	-557.488647	23.048658	-2307.185547	-574.022522	46.416306	-2272.921875	-492.926910	67.461212	-1856.851685	-420.498932	10.280907	-1693.884888	-405.278168	62.632984	-1809.906128	-380.769318	51.032372	-1795.000488	-462.684601	77.128845
499	0	-2016.268433	-638.081238	831.517883	-2196.597168	-472.076508	832.439270	-1983.021851	-385.483521	845.215820	-2356.862305	-535.135742	31.325911	-2186.965576	-557.652588	22.975138	-2305.731201	-574.368896	47.484745	-2271.772217	-493.394165	68.793869	-1845.523315	-420.669006	8.963235	-1682.363037	-404.562531	60.571911	-1798.164429	-381.055359	49.387543	-1783.068970	-463.045868	74.599426
500	0	-2004.846558	-637.461304	829.998962	-2184.781006	-470.943451	831.421997	-1970.971191	-384.939392	843.933472	-2356.328613	-535.866882	34.242817	-2186.601318	-557.832703	22.908926	-2304.255127	-574.844055	48.941368	-2270.495361	-493.962616	70.380676	-1836.858521	-420.987000	8.217865	-1673.100830	-404.595001	57.330872	-1788.535156	-381.565765	47.788395	-1773.288452	-463.715546	71.888557
501	0	-1993.211914	-636.816895	828.647156	-2172.895996	-469.857178	830.615173	-1958.902466	-384.312897	842.968323	-2355.648926	-536.731262	37.633461	-2186.168457	-558.027771	22.843887	-2302.735352	-575.464294	50.834129	-2269.054688	-494.645782	72.247475	-1830.560425	-421.409210	8.051130	-1665.809570	-405.377350	53.219551	-1780.829102	-382.254059	46.323677	-1765.500732	-464.665588	69.102272
502	0	-1981.383911	-636.145020	827.501648	-2160.964355	-468.825073	830.037354	-1946.843140	-383.602325	842.348206	-2354.754639	-537.731262	41.557034	-2185.661377	-558.231506	22.768814	-2301.118652	-576.238953	53.197460	-2267.395264	-495.455383	74.419914	-1826.240112	-421.882721	8.419228	-1660.151611	-406.796204	48.684757	-1774.811035	-383.057343	45.071175	-1759.489258	-465.830566	66.371765
503	0	-1969.389160	-635.440674	826.600220	-2149.010742	-467.852997	829.703003	-1934.820068	-382.806122	842.089478	-2353.557617	-538.864868	46.074699	-2185.079346	-558.431580	22.667414	-2299.326660	-577.170166	56.053619	-2265.444580	-496.399933	76.921684	-1823.465942	-422.348999	9.222960	-1655.793701	-408.631073	44.221142	-1770.221313	-383.900208	44.079075	-1755.000366	-467.113159	63.832939
504	0	-1957.261230	-634.696655	825.976257	-2137.059570	-466.945709	829.621765	-1922.858398	-381.923157	842.195618	-2351.949219	-540.126709	51.245964	-2184.427002	-558.609741	22.520420	-2297.260498	-578.255005	59.414570	-2263.110107	-497.484741	79.772697	-1821.817139	-422.751617	10.320188	-1652.458862	-410.581329	40.249737	-1766.801147	-384.700562	43.356705	-1751.765259	-468.396271	61.604069
505	0	-1945.038208	-633.904358	825.655212	-2125.135010	-466.106140	829.798340	-1910.980591	-380.952972	842.656799	-2349.806396	-541.511230	57.123646	-2183.711182	-558.746155	22.310205	-2294.805420	-579.487122	63.283646	-2260.284912	-498.713135	82.987473	-1820.924805	-423.045654	11.551906	-1649.945190	-412.316406	37.017136	-1764.311035	-385.379852	42.877472	-1749.516968	-469.561707	59.767132
506	0	-1932.762085	-633.052917	825.651794	-2113.260986	-465.335846	830.231262	-1899.206787	-379.895874	843.449158	-2346.991699	-543.016846	63.748116	-2182.940430	-558.825134	22.028112	-2291.838379	-580.860168	67.657280	-2256.852295	-500.088806	86.573875	-1820.492310	-423.207642	12.771646	-1648.093628	-413.547729	34.580399	-1762.541504	-385.875488	42.591038	-1748.001953	-470.511414	58.357311
507	0	-1920.477295	-632.130554	825.968384	-2101.461182	-464.634857	830.913574	-1887.554810	-378.753113	844.537354	-2343.365234	-544.648315	71.141350	-2182.115967	-558.841553	21.683807	-2288.232178	-582.369873	72.526535	-2252.694336	-501.617065	90.532166	-1820.300171	-423.240326	13.866989	-1646.750000	-414.092163	32.859577	-1761.313843	-386.152283	42.437943	-1746.992065	-471.184662	57.362530
508	0	-1908.229736	-631.124512	826.594360	-2089.758057	-464.002319	831.832886	-1876.040649	-377.527374	845.876282	-2338.786133	-546.416382	79.300896	-2181.222168	-558.808167	21.315416	-2283.861084	-584.013977	77.878288	-2247.697510	-503.304413	94.854362	-1820.202759	-423.170288	14.768132	-1645.764160	-413.907318	31.698130	-1760.480591	-386.207001	42.362080	-1746.298096	-471.565918	56.731930
509	0	-1896.065186	-630.022156	827.507141	-2078.172363	-463.436615	832.971985	-1864.680176	-376.222504	847.414490	-2333.125977	-548.333374	88.194252	-2180.211914	-558.761169	20.998146	-2278.607666	-585.791504	83.695412	-2241.760254	-505.156586	99.524040	-1820.117920	-423.037628	15.446845	-1645.016846	-413.092834	30.916716	-1759.926392	-386.066345	42.319103	-1745.777588	-471.681854	56.390549
510	0	-1884.027710	-628.812927	828.674500	-2066.724365	-462.936249	834.309387	-1853.487793	-374.843781	849.097717	-2326.272705	-550.403748	97.754211	-2178.989990	-558.764160	20.848043	-2272.363037	-587.698547	89.956024	-2234.795166	-507.174377	104.516083	-1820.013184	-422.882690	15.910115	-1644.428955	-411.853943	30.359718	-1759.563599	-385.778412	42.279629	-1745.338745	-471.589905	56.255371
511	0	-1872.157104	-627.489075	830.057312	-2055.431396	-462.500305	835.821045	-1842.478760	-373.397980	850.872437	-2318.139893	-552.616028	107.876122	-2177.399658	-558.907837	21.017332	-2265.033936	-589.724792	96.631645	-2226.730469	-509.349762	109.795921	-1819.888672	-422.735046	16.190891	-1643.953857	-410.433838	29.920403	-1759.327637	-385.402435	42.228096	-1744.933472	-471.362396	56.248367
512	0	-1860.487183	-626.049133	831.614014	-2044.309082	-462.128479	837.479980	-1831.666626	-371.893402	852.688293	-2308.669678	-554.934937	118.417747	-2175.216309	-559.304565	21.678833	-2256.543701	-591.850769	103.683578	-2217.510742	-511.662537	115.318634	-1819.762939	-422.608276	16.337355	-1643.566162	-409.048706	29.541731	-1759.172119	-384.998352	42.159622	-1744.546875	-471.071716	56.305027
513	0	-1849.042969	-624.499268	833.304321	-2033.370483	-461.821564	839.258728	-1821.063965	-370.340332	854.500061	-2297.836670	-557.299500	129.201813	-2172.150146	-560.077393	22.998840	-2246.831543	-594.045227	111.056488	-2207.093994	-514.079102	121.027611	-1819.659302	-422.501556	16.401638	-1643.254150	-407.854919	29.204985	-1759.064331	-384.617554	42.076591	-1744.188477	-470.779175	56.378784
514	0	-1837.837280	-622.855286	835.093628	-2022.624756	-461.580902	841.129028	-1810.681274	-368.750763	856.268677	-2285.645264	-559.626526	140.020065	-2167.862793	-561.341614	25.102779	-2235.854980	-596.264954	118.671097	-2195.449707	-516.553833	126.853256	-1819.596313	-422.407013	16.428568	-1643.012939	-406.942474	28.913986	-1758.981934	-384.297241	41.985912	-1743.881104	-470.528381	56.441837
515	0	-1826.868164	-621.143433	836.954895	-2012.077515	-461.408264	843.062988	-1800.525024	-367.138519	857.961975	-2272.123047	-561.819946	150.638992	-2161.993652	-563.184326	28.043501	-2223.583984	-598.458679	126.417847	-2182.557373	-519.033203	132.712860	-1819.579590	-422.318085	16.448004	-1642.839478	-406.337921	28.679386	-1758.910889	-384.058563	41.896523	-1743.652466	-470.343750	56.483067
516	0	-1816.114746	-619.399353	838.870911	-2001.730469	-461.305542	845.033630	-1790.598511	-365.518951	859.553894	-2257.315430	-563.786255	160.808533	-2154.191895	-565.643555	31.782745	-2210.000977	-600.572693	134.154236	-2168.406006	-521.459839	138.512238	-1819.605591	-422.230103	16.476461	-1642.728516	-406.014130	28.508001	-1758.842773	-383.908356	41.817307	-1743.527710	-470.232513	56.504028
517	0	-1805.537598	-617.667419	840.835266	-1991.581177	-461.274139	847.014832	-1780.900146	-363.908356	861.024536	-2241.276367	-565.452271	170.274750	-2144.151855	-568.692383	36.189011	-2195.096680	-602.558716	141.706650	-2152.996582	-523.777222	144.149429	-1819.665894	-422.139862	16.521406	-1642.672363	-405.910858	28.399109	-1758.773804	-383.843109	41.755951	-1743.524536	-470.190186	56.514038
518	0	-1795.077026	-615.998962	842.852173	-1981.623413	-461.315094	848.981812	-1771.424316	-362.322937	862.359619	-2224.062500	-566.783264	178.795044	-2131.646729	-572.227112	41.048805	-2178.866455	-604.380554	148.876892	-2136.342285	-525.933777	149.518616	-1819.750122	-422.046844	16.584841	-1642.660889	-405.956757	28.345118	-1758.701904	-383.852570	41.718342	-1743.649170	-470.206451	56.525112
519	0	-1784.656982	-614.449951	844.935608	-1971.847412	-461.428589	850.910522	-1762.161011	-360.778442	863.549438	-2205.726563	-567.793274	186.152405	-2116.551758	-576.063660	46.088253	-2161.307617	-606.018860	155.451675	-2118.472412	-527.885864	154.514267	-1819.847656	-421.953552	16.666058	-1642.681885	-406.085724	28.333645	-1758.626099	-383.923920	41.708332	-1743.894043	-470.269012	56.546894
520	0	-1774.187866	-613.076355	847.105652	-1962.240356	-461.614288	852.778503	-1753.096313	-359.289185	864.588379	-2186.314209	-568.544373	192.165985	-2098.853271	-579.950378	51.003613	-2142.421875	-607.471985	161.215103	-2099.427002	-529.600769	159.033798	-1819.949951	-421.865204	16.763462	-1642.722290	-406.246857	28.350132	-1758.544922	-384.043793	41.727692	-1744.236816	-470.367004	56.582787
521	0	-1763.575317	-611.929199	849.384338	-1952.786743	-461.871399	854.563782	-1744.213867	-357.867249	865.474426	-2165.863281	-569.133240	196.697144	-2078.637207	-583.603516	55.497192	-2122.217773	-608.753296	165.963531	-2079.254883	-531.060181	162.978256	-1820.049561	-421.787689	16.875652	-1642.768799	-406.407532	28.380346	-1758.456543	-384.200134	41.776253	-1744.639648	-470.492828	56.627964
522	0	-1752.728394	-611.049316	851.790649	-1943.469116	-462.198730	856.245544	-1735.493774	-356.522308	866.208374	-2144.407959	-569.669067	199.651031	-2056.059082	-586.753723	59.310699	-2100.713379	-609.885132	169.520981	-2058.001465	-532.263062	166.251221	-1820.141357	-421.726501	17.001984	-1642.809570	-406.552490	28.412022	-1758.359009	-384.382690	41.852158	-1745.053711	-470.643768	56.669552
523	0	-1741.573853	-610.462158	854.334595	-1934.269043	-462.594818	857.803772	-1726.914185	-355.261505	866.793091	-2121.979004	-570.252686	200.974930	-2031.317749	-589.191956	62.249489	-2077.940430	-610.892334	171.752396	-2035.700317	-533.225952	168.757889	-1820.222412	-421.685638	17.142702	-1642.835693	-406.680695	28.435219	-1758.249878	-384.583496	41.952454	-1745.424561	-470.822021	56.689342
524	0	-1730.069824	-610.172729	857.011230	-1925.166016	-463.058044	859.219543	-1718.451416	-354.089508	867.232788	-2098.605225	-570.957642	200.655075	-2004.623169	-590.806702	64.194450	-2053.942383	-611.797058	172.573181	-2012.365356	-533.981445	170.405655	-1820.290894	-421.667328	17.298779	-1642.841187	-406.801208	28.441738	-1758.128174	-384.796509	42.073635	-1745.702637	-471.033844	56.669724
