Trajectories
100
		JuanDR:RASI			JuanDR:SACR			JuanDR:LASI			JuanDR:RHEE			JuanDR:RTOE			JuanDR:RANK			JuanDR:RMED			JuanDR:LHEE			JuanDR:LTOE			JuanDR:LANK			JuanDR:LMED			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
26	0	-120.409103	-126.905083	866.205811	-316.894897	11.533460	862.418274	-118.068878	131.736908	866.829651	-276.664490	-110.683136	21.726870	-106.130699	-147.401138	27.575233	-232.764908	-151.850342	48.565556	-192.996109	-71.607529	66.067032	-299.125580	89.065376	20.410261	-128.053146	139.811722	29.749069	-250.867966	133.901855	50.129974	-214.845505	52.827473	56.554054
27	0	-120.403397	-126.898987	866.207336	-316.893341	11.536507	862.417847	-118.069283	131.741760	866.832031	-276.664886	-110.684021	21.727646	-106.130142	-147.400787	27.575003	-232.764572	-151.850647	48.566257	-192.995438	-71.608963	66.065826	-299.126740	89.065102	20.412266	-128.053131	139.811005	29.748547	-250.868088	133.901321	50.129700	-214.845703	52.827347	56.554569
28	0	-120.398087	-126.892868	866.208923	-316.892059	11.539532	862.417358	-118.069977	131.746597	866.834351	-276.665222	-110.684906	21.728397	-106.129616	-147.400406	27.574778	-232.764236	-151.850937	48.566944	-192.994797	-71.610374	66.064629	-299.127930	89.064850	20.414217	-128.053131	139.810303	29.748039	-250.868225	133.900818	50.129433	-214.845917	52.827229	56.555084
29	0	-120.393196	-126.886726	866.210388	-316.891113	11.542534	862.416809	-118.070961	131.751358	866.836670	-276.665558	-110.685806	21.729120	-106.129097	-147.400055	27.574562	-232.763901	-151.851257	48.567623	-192.994171	-71.611786	66.063431	-299.129089	89.064606	20.416111	-128.053146	139.809601	29.747551	-250.868439	133.900330	50.129166	-214.846161	52.827118	56.555595
30	0	-120.388710	-126.880600	866.211975	-316.890411	11.545513	862.416199	-118.072250	131.756119	866.839050	-276.665924	-110.686699	21.729820	-106.128586	-147.399689	27.574352	-232.763596	-151.851547	48.568287	-192.993576	-71.613182	66.062263	-299.130249	89.064369	20.417952	-128.053177	139.808929	29.747078	-250.868744	133.899887	50.128899	-214.846451	52.827011	56.556107
31	0	-120.384621	-126.874451	866.213440	-316.890076	11.548469	862.415466	-118.073822	131.760788	866.841370	-276.666351	-110.687592	21.730490	-106.128098	-147.399353	27.574156	-232.763306	-151.851852	48.568935	-192.992996	-71.614571	66.061111	-299.131409	89.064133	20.419737	-128.053207	139.808258	29.746620	-250.869064	133.899414	50.128647	-214.846756	52.826927	56.556610
32	0	-120.380936	-126.868294	866.214844	-316.890045	11.551402	862.414856	-118.075691	131.765442	866.843689	-276.666687	-110.688492	21.731136	-106.127609	-147.399002	27.573965	-232.763000	-151.852142	48.569572	-192.992447	-71.615967	66.059952	-299.132599	89.063919	20.421469	-128.053253	139.807587	29.746180	-250.869446	133.898987	50.128387	-214.847122	52.826843	56.557110
33	0	-120.377670	-126.862137	866.216370	-316.890289	11.554313	862.414063	-118.077858	131.770050	866.846008	-276.667053	-110.689384	21.731754	-106.127151	-147.398682	27.573784	-232.762741	-151.852463	48.570194	-192.991928	-71.617340	66.058830	-299.133759	89.063713	20.423147	-128.053314	139.806915	29.745758	-250.869934	133.898575	50.128143	-214.847488	52.826775	56.557613
34	0	-120.374802	-126.855972	866.217712	-316.890869	11.557200	862.413208	-118.080307	131.774582	866.848389	-276.667480	-110.690292	21.732347	-106.126694	-147.398331	27.573612	-232.762482	-151.852753	48.570805	-192.991425	-71.618706	66.057701	-299.134888	89.063507	20.424774	-128.053375	139.806274	29.745352	-250.870438	133.898163	50.127899	-214.847885	52.826717	56.558113
35	0	-120.372337	-126.849770	866.219116	-316.891724	11.560064	862.412476	-118.083069	131.779083	866.850708	-276.667877	-110.691208	21.732914	-106.126266	-147.397995	27.573448	-232.762253	-151.853058	48.571396	-192.990936	-71.620079	66.056602	-299.136047	89.063316	20.426342	-128.053467	139.805618	29.744961	-250.871002	133.897766	50.127659	-214.848343	52.826660	56.558609
